0,0,2,4,0,0,1,5,8,0,0,0,0,15,15,26,37,4,18,36,34,40,46,44,19,0,106,11,23,65,35,2,2,1,14,5,0,0,2,15,0,2,1,1,7,0,0,0,0,0,1,0
4,5,1,10,3,3,4,4,3,1,2,0,2,4,3,4.5,6,5,4,11,1,2,7,4,3,6,8,2,9,0,3,5,12,5,14,1,5,5,7,1,4,4,6,4,1,2,3,0,2,1,4,1
35,55,0,402,0,206,0,0,266,144,48,192,0,215,0,44,88,248,0,149,161,173,173,31,380,1,529,0,243,429,421,309,204,1,960,383,57,477,386,249,31,285,0,602,337,126,388,251,417,51,178,0
0,0,0,0,3,0,0,3,2,0,0,0,3,0,1,6,11,2,1,4,15,25,29,18,26,0,57,2,19,14,66,21,10,4,6,6,0,1,1,8,0,0,1,0,0,0,0,0,0,0,0,1
5,17,35,17,0,46,23,43,0,55,0,82,0,57,44,58,72,26,29,0,67,0,58,31,131,74,2,24,60,137,60,161,78,0,89,63,13,63,101,21,7,24,17,25,2,6,22,0,10,2,0,0
0,14,10,7,8,8,7,13,9,9,10,5,8,19,14,14.5,15,8,10,7,11,22,17,31,24,26,21,3,34,11,24,58,0,37,20,6,4,25,8,29,1,9,8,19,0,6,4,20,1,0,8,0
1,11,10,12,4,6,13,18,4,5,0,10,9,23,7,8,9,8,4,3,8,10,7,17,16,11,21,19,25,23,18,18,6,4,3,0,0,1,0,3,5,0,2,2,5,3,1,0,1,2,0,0
0,0,4,6,17,8,13,11,11,0,26,11,22,25,21,31.5,42,0,19,18,1,27,57,6,41,102,51,70,47,0,48,49,0,0,0,73,25,0,11,19,13,6,3,6,0,4,7,6,0,0,2,0
0,0,14,3,0,0,0,17,0,1,0,14,0,22,0,7.5,15,39,0,6,0,61,13,21,23,24,78,5,73,32,12,67,23,0,57,20,3,39,2,52,0,21,12,11,22,3,6,7,0,3,0,7
0,17,47,28,36,19,17,18,19,35,5,17,12,48,54,119,184,193,91,18,281,64,579,287,256,633,1010,134,823,728,801,569,621,549,442,56,283,155,158,166,51,70,42,38,19,0,51,38,15,17,11,0
8,1,55,23,27,11,17,15,5,10,8,18,16,24,30,51,72,86,73,99,190,240,374,371,208,904,595,741,845,552,615,410,993,626,568,468,377,275,197,162,134,102,57,50,98,26,41,35,23,20,7,5
1,12,44,44,6,27,10,18,28,16,1,18,0,47,12,40.5,69,10,5,8,0,0,85,0,15,26,84,2,24,97,0,23,8,79,59,0,35,31,28,66,10,0,32,53,0,10,52,22,6,5,13,0
0,2,39,16,30,21,25,42,37,35.5,34,21,26,29,25,26.5,28,60,1,52,0,94,51,17,19,177,69,60,24,19,134,28,57,0,44,23,29,19,28,20,5,0,12,8,5,0,33,6,8,3,14,6
6,0,8,5,3,3.5,4,5,7,11,7,8,16,17,18,17.5,17,11,10,12,25,48,22,33,0,101,29,0,46,46,91,77,66,89,61,33,30,26,32,12,9,15,8,8,0,13,4,7,0,0,1,0
3,4,0,11,8,10,12,38,4,24,20,18,4,54,15,34.5,54,31,15,16,9,32,20,50,81,55,79,0,112,50,39,36,0,37,19,23,0,28,7,18,5,9,10,4,12,0,11,12,0,5,0,7
1,7,0,24,13,15,0,35,3,5,8,0,0,24,2,3.5,5,0,4,0,4,5,21,0,5,0,29,0,30,20,0,29,0,0,55,0,0,0,27,1,3,6,5,13,1,1,5,4,7,0,1,0
4,5,30,11,15,13,11,15,6,15,13,12,38,2,17,21,25,29,17,8,34,18,78,68,100,67,97,119,109,140,97,448,227,108,103,260,96,56,99,35,31,15,32,12,6,12,11,1,2,0,0,0
0,34,31,0,0,174,0,89,0,32,37,15,101,20,7,47.5,88,0,4,142,0,59,0,92,132,52,0,21,51,0,15,98,0,63,61,3,0,0,27,0,8,0,0,25,30,9,11,18,10,9,9,0
0,2,5,7,2,15,2,9,0,12,2,3,7,0,1,14,27,21,0,14,37,71,93,54,0,215,240,63,211,0,119,137,47,119,136,31,20,47,116,83,8,0,47,11,18,0,26,0,4,1,1,2
0,0,2,9,7,5,7,3,2,0,8,0,16,12,23,14.5,6,21,19,21,16,25,31,31,0,60,24,1,89,68,110,59,43,18,77,22,32,23,22,2,0,12,0,12,4,0,4,0,0,0,0,0
0,10,32,16,20,24,16,18,44,10,26,34,36,64,91,78,65,113,46,89,106,146,53,205,125,167,139,181,135,116,42,174,86,58,18,32,31,20,10,17,9,17,23,2,12,4,7,4,0,5,0,0
0,0,26,7,12,9,15,0,46,0,11,7,13,14,5,6.5,8,3,3,12,2,14,6,7,21,5,8,3,51,23,30,33,61,0,44,0,12,25,42,0,15,11,25,0,18,24,27,27,6,9,0,9
2,0,1,0,2,1,0,7,0,0,3,4,4,2,0,8,16,0,25,0,0,60,0,50,99,0,129,52,71,0,0,215,18,160,0,88,16,30,57,0,3,4,34,29,3,23,18,17,21,9,1,15
0,23,22,11,38,10,9,43,29,14,16,19,27,51,20,17,14,34,14,0,43,73,59,61,1,137,151,39,124,115,90,128,17,141,121,196,40,0,24,81,7,43,0,77,1,2,33,3,0,0,0,0
0,0,8,3,0,4,1,8,3,4,5,1,6,37,0,20,40,11,22,33,19,93,9,75,71,33,33,6,27,20,19,7,46,0,6,16,1,7,0,0,1,1,0,4,6,0,1,4,0,0,0,0
0,0,0,0,2,0,0,4,2,2,0,9,6,7,0,5,10,3,3,0,0,39,4,0,1,14,17,0,0,14,6,17,6,0,12,27,0,1,9,2,0,0,4,0,6,0,1,0,0,0,0,0
4,27,30,24,36,12,42,22,54,13,0,52,0,25,45,41.5,38,19,1,11,7,5,12,0,17,1,11,8,15,22,43,40,66,36,31,42,59,16,38,22,6,24,37,16,14,9,18,47,0,12,12,15
3,0,11,7,8,1,1,6,8,1,1,19,4,42,11,29,47,248,12,20,142,127,160,157,239,209,172,103,219,64,87,57,19,64,2,13,0,1,1,1,3,0,18,2,1,1,4,0,0,0,0,0
20,0,63,97,47,0,54,51,56,49,0,93,102,94,67,67.5,68,155,72,75,0,106,221,210,288,186,477,2,537,0,415.5,831,156,0,226,300,90,119,2,357,1,127,59,47,51,29,34,8,11,12,6,0
22,12,59,41,45,20,66,37,32,20,50,52,47,72,39,40,41,36,12,0,24,60,37,50,0,77,181,0,168,0,127,9,97,40,52,55,33,34,37,23,8,0,0,0,100,0,39,10,8,6,5,8
4,65,34,83,117,48,0,41,156,60,0,59,0,148,0,55,110,138,41,0,16,72,112,13,280,0,132,3,98,19,97,175,75,0,159,26,27,46,0,57,10,0,9,10,47,28,0,25,26,6,0,19
0,0,2,0,6,2,9,8,0,3,6,0,1,8,2,11.5,21,6,13,15,5,20,20,31,27,37,50,29,97,48,98,44,14,54,45,19,8,18,9,0,7,4,6,4,1,4,6,5,0,0,1,0
0,26,29,9,41,11,4,22,10,16,22,18,22,15.5,9,18,27,7,9,7,1,17,21,12,21,15,32,33,44,33,131,31,58,62,0,121,30,15,47,43,29,20,39,21,26,45,15,15,24,6,22,10
0,4,9,1,5,5,12,8,16,5,22,21,9,25,23,34,45,56,29,16,4,54,64,40,21,93,44,18,58,41,21,33,44,17,18,11,4,2,1,9,0,1,1,2,0,0,0,0,0,0,0,0
0,1,0,3,2,0,0,0,0,2,0,2,2,2,0,1.5,3,1,1,4,19,2,5,2,46,2,110,33,206,92,59,51,39,33,0,73,12,4,1,23,1,1,0,3,0,2,1,3,0,0,0,0
9,22,29,0,50,32,31,13,0,0,16,42,21,31,9,9.5,10,33,0,35,0,11,9,11,21,19,8,32,30,0,30,43,34,42,37,67,21,63,27,44,13,38,18,40,44,16,34,31,30,0,0,54
0,8,13,11,23,20,0,29,22,10,14,19,3,18,1,8,15,10,0,11,0,7,4,5,0,17,13,3,13,23,21,15,12,11,0,38,12,11,16,36,0,17,10,0,18,5,6,18,5,9,0,11
0,0,30,5,15,20,9,23,8,0,0,0,16,21,2,13.5,25,22,6,5,0,18,28,2,15,35,0,0,3,52,28,42,0,37,66,0,0,39,0,6,0,1,1,40,41,36,0,32,0,0,11,0
0,5,0,47,0,7,14,10,29,0,27,17,33,0,21,30.5,40,0,10,27,11,13,18,18,24,22,43,27,22,17,35,44,11,32,21,7,6,20,23,19,6,28,17,6,62,20,27,14,9,13,22,12
7,0,0,5,29,0,7,7,13,9,11,4,5,27,7,3.5,0,123,14,0,68,36,41,2,25,7,14,2,15,48,0,58,0,2,3,3,2,3,2,3,5,1,0,4,2,0,0,4,2,0,0,0
6,48,54,24,19,29,19,0,35,5,37,0,36,16,37,30,23,31,19,17,12,48,35,33,0,69,44,23,59,46,51,0,53,0,54,35,13,26,21,13,20,23,22,15,29,0,52,28,0,23,13,22
0,0,10,5,3,1,0,2,1,1,0,1,0,9,0,4,8,3,3,7,5,32,29,29,17,71,68,44,64,49,38,39,44,34,39,39,27,5,16,10,5,5,2,7,4,1,1,1,1,1,0,0
1,3,15,9,11,14,21,7,9,30,18,19,15,26,23,34,45,37,67,60,149,221,167,229,167,305,373,313,200,124,109,74,24,36,11,30,3,0,11,2,1,8,1,1,9,3,0,2,0,1,0,0
0,3,7,11,15,18,12,12,0,18,4,3,9,21,5,15.5,26,10,5,10,13,18,9,15,18,17,23,13,14,12,10,26,16,16,10,14,15,12,22,4,3,20,8,18,7,8,11,19,9,2,3,9
0,4,8,13,1,4,5,7,9,14,8,17,6,15,4,22.5,41,2,5,0,18,0,27,2,18,20,35,13,41,17,36,55,15,14,22,14,4,5,8,3,2,6,3,8,5,1,7,5,4,0,3,3
0,23,20,13,16,20,19,29,9,24,11,14,14,20,18,33.5,49,24,31,34,28,34,30,49,37,47,103,30,68,71,68,36,50,46,26,37,30,32,19,22,11,8,20,16,9,9,13,5,10,3,3,1
0,0,1,6,1,1,1,1,0,0,0,15,4,1,11,14.5,18,9,7,0,10,30,9,22,50,31,17,34,38,31,38,24,10,12,18,75,0,20,12,10,2,16,0,0,14,0,11,2,2,1,1,0
0,3,0,0,14,9,3,7,16,6,3,14,43,37,65,120,175,33,85,83,0,133,18,173,54,127,66,123,71,0,115,76,50,59,48,46,41,41,35,33,22,0,39,22,16,0,39,23,11,13,28,13
0,1,4,6,0,5,0,6,0,9,4,4,3,5,3,8.5,14,3,3,0,25,0,32,0,27,24,22,0,34,40,37,55,0,65,14,0,20,17,0,23,1,1,3,9,0,1,1,10,1,0,5,3
0,12,7,6,11,0,9,10,7,0,7,20,0,14,7,10,13,7,7,11,0,7,9,5,4,16,9,4,40,12,0,15,0,0,40,0,5,11,9,0,0,0,15,3,5,0,8,0,12,5,0,6
0,0,0,0,12,1,0,2,0,2,0,1,0,5,4,5.5,7,4,0,3,0,24,13,3,0,0,41,14,0,9,8,3,5,21,3,9,0,3,3,9,1,0,4,6,2,0,3,5,0,0,0,5
0,2,20,50,4,37,3,38,16,29,8,15,17,29,8,11,14,26,4,2,9,11,1,0,3,20,2,3,18,44,12,64,6,46,73,12,31,0,20,66,6,39,0,29,0,5,26,64,15,9,9,18
0,12,32,114,63,31.5,0,95,28,40,23,43,48,44,28,39,50,19,21,35,28,47,2,46,77,104,86,34,82,69,30,54,45,50,61,40,56,47,32,46,28,24,24,26,18,29,25,37,25,13,21,12
