id,district,incidence,rain,temp,pop_den,population
1247,Puttalam,107.5949367,20.5824,19.14851485,257.1614583,790000
1248,Ratnapura,108.2519965,71.2992,34.41284404,344.1221374,1127000
1249,Trincomalee,241.813602,125.1490909,32.73563218,145.5812248,397000
1250,Vavuniya,83.79888268,83.504,32.81818182,91.00152517,179000
1251,Ampara,8.862629247,96.87789474,33.31972789,152.7871812,677000
1252,Anuradhapura,30.23516237,25.032,34.63404255,124.3905836,893000
1253,Badulla,35.5450237,59.91272727,32.23157895,295.0017476,844000
1254,Batticaloa,388.1700555,58.44521739,35.03658537,205.4690467,541000
1255,Colombo,226.1052632,152.34,24.2,3397.711016,2375000
1256,Galle,64.16131989,106.0457143,26.16666667,660.4116223,1091000
1257,Gampaha,108.3262532,204.1,25.24444444,1697.188176,2354000
1258,Hambantota,44.58598726,81.49714286,23.94318182,240.7052511,628000
1259,Jaffna,189.279732,17.37,11.09090909,582.4390244,597000
1260,Kalutara,84.8,141.3257143,23.79245283,782.2277847,1250000
1261,Kandy,67.09039548,62.18526316,34.16129032,729.8969072,1416000
1262,Kegalle,41.81184669,83.10857143,39.19642857,508.5646781,861000
1263,Kilinochchi,25,32.88,25.02272727,93.82329945,120000
1264,Kurunegala,65.13872135,70.11512195,35.01242236,344.269103,1658000
1265,Mannar,19.23076923,33.14526316,18.75362319,52.10420842,104000
1266,Matale,51.79282869,43.89,35.82857143,251.8815855,502000
1267,Matara,48.98446834,99.36,25.52380952,652.3772408,837000
1268,Moneragala,31.77966102,72.01959184,36.07368421,83.70278418,472000
1269,Mullaitivu,85.10638298,22.10526316,33.17857143,35.91899121,94000
1270,Nuwara Eliya,17.56756757,62.38,33.61818182,425.0430787,740000
1271,Polonnaruwa,31.02625298,29.41333333,32.3539823,127.2395991,419000
1272,Puttalam,43.03797468,50.976,20.06930693,257.1614583,790000
1273,Ratnapura,79.85803017,80.256,36.82568807,344.1221374,1127000
1274,Trincomalee,148.6146096,12.54545455,36.52873563,145.5812248,397000
1275,Vavuniya,44.69273743,29.808,36.77272727,91.00152517,179000
1276,Ampara,0,101.0147368,33.42857143,152.7871812,677000
1277,Anuradhapura,20.15677492,201.372,35.04680851,124.3905836,893000
1278,Badulla,36.72985782,310.44,31.6,295.0017476,844000
1279,Batticaloa,229.2051756,55.75304348,35.2804878,205.4690467,541000
1280,Colombo,133.4736842,686.52,26.15,3397.711016,2375000
1281,Galle,32.08065995,235.1485714,27.92592593,660.4116223,1091000
1282,Gampaha,81.98810535,463.32,25.53333333,1697.188176,2354000
1283,Hambantota,28.66242038,153.5771429,23.77272727,240.7052511,628000
1284,Jaffna,80.40201005,119.91,11.75757576,582.4390244,597000
1285,Kalutara,57.6,476.3485714,24,782.2277847,1250000
1286,Kandy,44.49152542,240.5178947,34.58064516,729.8969072,1416000
1287,Kegalle,46.45760743,360.6,37.33928571,508.5646781,861000
1288,Kilinochchi,0,137.1272727,25.93181818,93.82329945,120000
1289,Kurunegala,44.02895054,331.8263415,34.49689441,344.269103,1658000
1290,Mannar,9.615384615,264.8463158,19.69565217,52.10420842,104000
1291,Matale,31.87250996,175.83,36.02857143,251.8815855,502000
1292,Matara,33.45280765,188.8145455,27.33333333,652.3772408,837000
1293,Moneragala,14.83050847,211.6212245,36.27368421,83.70278418,472000
1294,Mullaitivu,106.3829787,111.1578947,33.32142857,35.91899121,94000
1295,Nuwara Eliya,6.756756757,306.62,33.41818182,425.0430787,740000
1296,Polonnaruwa,21.4797136,86.92444444,33.01769912,127.2395991,419000
1297,Puttalam,25.3164557,462.6432,21.81188119,257.1614583,790000
1298,Ratnapura,52.35137533,413.904,36.1559633,344.1221374,1127000
1299,Trincomalee,204.0302267,50.69454545,36.57471264,145.5812248,397000
1300,Vavuniya,22.34636872,140.304,35.96969697,91.00152517,179000
1301,Ampara,7.385524372,119.6526316,34.49659864,152.7871812,677000
1302,Anuradhapura,13.43784994,246.432,34.75319149,124.3905836,893000
1303,Badulla,26.06635071,154.3418182,32.35789474,295.0017476,844000
1304,Batticaloa,256.9316081,169.346087,37.31707317,205.4690467,541000
1305,Colombo,216.8421053,259.2,24.25,3397.711016,2375000
1306,Galle,23.83134739,275.8457143,26.62962963,660.4116223,1091000
1307,Gampaha,112.1495327,231.26,23.04444444,1697.188176,2354000
1308,Hambantota,19.10828025,76.06857143,24.77272727,240.7052511,628000
1309,Jaffna,110.5527638,183.69,11,582.4390244,597000
1310,Kalutara,68.8,280.7828571,22.22641509,782.2277847,1250000
1311,Kandy,50.14124294,132.96,32.29032258,729.8969072,1416000
1312,Kegalle,62.71777003,150.3085714,36.80357143,508.5646781,861000
1313,Kilinochchi,16.66666667,187.1127273,25.29545455,93.82329945,120000
1314,Kurunegala,37.39445115,135.2663415,33.35403727,344.269103,1658000
1315,Mannar,38.46153846,251.2042105,18.69565217,52.10420842,104000
1316,Matale,19.92031873,154.59,35.47142857,251.8815855,502000
1317,Matara,29.86857826,143.8254545,26.0952381,652.3772408,837000
1318,Moneragala,14.83050847,156.3869388,36.08947368,83.70278418,472000
1319,Mullaitivu,127.6595745,203.9368421,33.48809524,35.91899121,94000
1320,Nuwara Eliya,10.81081081,128.3,31.74545455,425.0430787,740000
1321,Polonnaruwa,28.63961814,253.2888889,34.40707965,127.2395991,419000
1322,Puttalam,40.50632911,181.9008,19.27722772,257.1614583,790000
1323,Ratnapura,62.11180124,130.7424,34.95412844,344.1221374,1127000
1324,Trincomalee,163.7279597,272.9454545,38.04597701,145.5812248,397000
1325,Vavuniya,83.79888268,294.384,35.89393939,91.00152517,179000
1326,Ampara,13.29394387,82.20631579,34.14965986,152.7871812,677000
1327,Anuradhapura,16.79731243,54.128,34.2,124.3905836,893000
1328,Badulla,35.5450237,127.4509091,31.05263158,295.0017476,844000
1329,Batticaloa,151.5711645,59.89565217,36.43902439,205.4690467,541000
1330,Colombo,216.8421053,176.1,24.15,3397.711016,2375000
1331,Galle,18.33180568,89.04,26.18518519,660.4116223,1091000
1332,Gampaha,95.58198811,147.96,23.95555556,1697.188176,2354000
1333,Hambantota,17.51592357,19.70285714,23.14772727,240.7052511,628000
1334,Jaffna,105.5276382,55.44,11.21212121,582.4390244,597000
1335,Kalutara,62.4,167.4685714,23.09433962,782.2277847,1250000
1336,Kandy,49.43502825,69.27157895,32.37096774,729.8969072,1416000
1337,Kegalle,44.13472706,87.85714286,36.625,508.5646781,861000
1338,Kilinochchi,33.33333333,89.80363636,24.34090909,93.82329945,120000
1339,Kurunegala,36.79131484,64.74731707,33.37267081,344.269103,1658000
1340,Mannar,19.23076923,26.34947368,19.07246377,52.10420842,104000
1341,Matale,31.87250996,52.89,34.42857143,251.8815855,502000
1342,Matara,14.33691756,41.36727273,24.83333333,652.3772408,837000
1343,Moneragala,38.13559322,77.4955102,34.92105263,83.70278418,472000
1344,Mullaitivu,148.9361702,156.3410526,34.48809524,35.91899121,94000
1345,Nuwara Eliya,10.81081081,99.44,30.16363636,425.0430787,740000
1346,Polonnaruwa,21.4797136,62.10666667,32.51327434,127.2395991,419000
1347,Puttalam,53.16455696,65.5392,19.48514851,257.1614583,790000
1348,Ratnapura,60.33717835,76.416,33.76146789,344.1221374,1127000
1349,Trincomalee,98.23677582,90.14181818,36.11494253,145.5812248,397000
1350,Vavuniya,50.27932961,81.952,36.75757576,91.00152517,179000
1351,Ampara,5.908419498,3.821052632,32.42176871,152.7871812,677000
1352,Anuradhapura,20.15677492,0.556,31.79574468,124.3905836,893000
1353,Badulla,39.09952607,9.785454545,29.46315789,295.0017476,844000
1354,Batticaloa,120.1478743,7.377391304,35.69512195,205.4690467,541000
1355,Colombo,381.8947368,10.26,22.35,3397.711016,2375000
1356,Galle,42.16315307,174.8914286,24.66666667,660.4116223,1091000
1357,Gampaha,134.664401,3.26,21.64444444,1697.188176,2354000
1358,Hambantota,41.40127389,22.28571429,22.64772727,240.7052511,628000
1359,Jaffna,115.5778894,7.83,10.90909091,582.4390244,597000
1360,Kalutara,100,49.57714286,21.83018868,782.2277847,1250000
1361,Kandy,45.19774011,6.947368421,30.43548387,729.8969072,1416000
1362,Kegalle,58.07200929,6.96,33.71428571,508.5646781,861000
1363,Kilinochchi,75,10.56,23.95454545,93.82329945,120000
1364,Kurunegala,49.45717732,1.422439024,30.88819876,344.269103,1658000
1365,Mannar,9.615384615,4.117894737,17.49275362,52.10420842,104000
1366,Matale,15.93625498,4.185,34.02857143,251.8815855,502000
1367,Matara,25.08960573,54.32727273,25.5,652.3772408,837000
1368,Moneragala,33.89830508,6.12244898,32.66315789,83.70278418,472000
1369,Mullaitivu,138.2978723,13.62947368,30.75,35.91899121,94000
1370,Nuwara Eliya,20.27027027,8.08,28.83636364,425.0430787,740000
1371,Polonnaruwa,42.95942721,0.968888889,30.98230088,127.2395991,419000
1372,Puttalam,82.27848101,0.5088,18.72277228,257.1614583,790000
1373,Ratnapura,93.16770186,21.7824,32.82568807,344.1221374,1127000
1374,Trincomalee,75.56675063,0.632727273,34.67816092,145.5812248,397000
1375,Vavuniya,27.93296089,5.408,32.77272727,91.00152517,179000
1376,Ampara,8.862629247,28.55368421,34.7414966,152.7871812,677000
1377,Anuradhapura,14.55767077,68.668,34.10212766,124.3905836,893000
1378,Badulla,22.51184834,21.6,31.76842105,295.0017476,844000
1379,Batticaloa,33.27171904,29.16521739,37.59756098,205.4690467,541000
1380,Colombo,299.3684211,91.68,24.3,3397.711016,2375000
1381,Galle,73.32722273,110.6571429,26.2037037,660.4116223,1091000
1382,Gampaha,98.98045879,94.1,23.97777778,1697.188176,2354000
1383,Hambantota,42.99363057,67.02857143,22.67045455,240.7052511,628000
1384,Jaffna,75.37688442,30.96,11,582.4390244,597000
1385,Kalutara,73.6,110.8628571,23.18867925,782.2277847,1250000
1386,Kandy,33.1920904,34.62315789,33.11290323,729.8969072,1416000
1387,Kegalle,56.91056911,59.45142857,36.03571429,508.5646781,861000
1388,Kilinochchi,58.33333333,18.65454545,25.18181818,93.82329945,120000
1389,Kurunegala,42.21954162,100.08,33.86956522,344.269103,1658000
1390,Mannar,9.615384615,47.19157895,18.63768116,52.10420842,104000
1391,Matale,13.94422311,58.44,36.65714286,251.8815855,502000
1392,Matara,28.67383513,97.85454545,25.5952381,652.3772408,837000
1393,Moneragala,29.66101695,19.32244898,35.57368421,83.70278418,472000
1394,Mullaitivu,74.46808511,17.68421053,33.75,35.91899121,94000
1395,Nuwara Eliya,6.756756757,26.14,31.36363636,425.0430787,740000
1396,Polonnaruwa,28.63961814,40.61333333,33.5840708,127.2395991,419000
1397,Puttalam,17.72151899,87.4944,19.91089109,257.1614583,790000
1398,Ratnapura,65.66104703,70.2336,34.23853211,344.1221374,1127000
1399,Trincomalee,22.67002519,18.81818182,37.2183908,145.5812248,397000
1400,Vavuniya,22.34636872,38.784,35.43939394,91.00152517,179000
1401,Ampara,7.385524372,91.76210526,32.46258503,152.7871812,677000
1402,Anuradhapura,15.6774916,221.552,34.24680851,124.3905836,893000
1403,Badulla,11.84834123,163.4618182,30.94736842,295.0017476,844000
1404,Batticaloa,14.78743068,39.08869565,35.08536585,205.4690467,541000
1405,Colombo,168.8421053,202.62,24.05,3397.711016,2375000
1406,Galle,68.74427131,328.0971429,25.42592593,660.4116223,1091000
1407,Gampaha,79.0144435,152.16,23.13333333,1697.188176,2354000
1408,Hambantota,27.07006369,147.3485714,22.52272727,240.7052511,628000
1409,Jaffna,85.42713568,42.69,11.09090909,582.4390244,597000
1410,Kalutara,45.6,266.5714286,22.79245283,782.2277847,1250000
1411,Kandy,43.78531073,180.0252632,32.12903226,729.8969072,1416000
1412,Kegalle,41.81184669,139.2171429,36.58928571,508.5646781,861000
1413,Kilinochchi,58.33333333,103.1781818,24.68181818,93.82329945,120000
1414,Kurunegala,16.28468034,126.444878,32.71428571,344.269103,1658000
1415,Mannar,19.23076923,251.52,18.28985507,52.10420842,104000
1416,Matale,15.93625498,177.51,33.41428571,251.8815855,502000
1417,Matara,28.67383513,217.8109091,24.88095238,652.3772408,837000
1418,Moneragala,4.237288136,107.4269388,33.67894737,83.70278418,472000
1419,Mullaitivu,21.27659574,168.0884211,33.39285714,35.91899121,94000
