ID,Date,Province#,Temperature,L2,Total Eggs,Total Larvae,Total Puapae,Total Adults,Susceptable Eggs,Susceptable Larvae,Susceptable Puapae,Susceptable Adults,Latent Eggs,Latent Larvae,Latent Puapae,Latent Adults,Infected Eggs,Infected Larvae,Infected Puapae,Infected Adults,Susceptable Human,Latent Human,Infectious Human,Recovery Human,New Latent Human,New Infectious Human,DEN-1,DEN-2,DEN-3,DEN-4
0,2008-01-01,48,27.7,0.3056,1466692,311594,55938,397048,800015,122061,22563,132236,612421,113664,20698,132462,54256,75869,12677,132350,707378,0,670,0,0,670,0,0,0,0
1,2008-01-02,48,25.4,0.3056,1018523,237853,49442,394089,535052,89347,19758,131290,434704,84039,18162,131436,48767,64467,11522,131363,707378,0,670,0,0,0,0,0,0,0
2,2008-01-03,48,25.9,0.3056,916909,231471,44743,390387,471483,84045,17521,130045,395151,80886,16271,130213,50275,66540,10951,130129,707378,0,670,0,0,0,0,0,0,0
3,2008-01-04,48,25.9,0.3056,883084,227229,41741,386388,450721,81712,16023,128687,382509,79249,15054,128905,49854,66268,10664,128796,707378,0,670,0,0,0,0,0,0,0
4,2008-01-05,48,26.2,0.3056,874777,229595,40464,382452,445839,82195,15301,127414,378603,79989,14513,127552,50335,67411,10650,127486,626499,80879,670,0,80879,0,0,80879,0,0
5,2008-01-06,48,26.9,0.3056,874115,238348,40991,379006,446571,85066,15341,116396,376138,82862,14642,136271,51406,70420,11008,126339,556239,151139,670,0,70260,0,0,151139,0,0
6,2008-01-07,48,26.3,0.3056,858611,228888,40281,375791,414990,79535,14881,108515,393823,82014,14466,142007,49798,67339,10934,125269,497421,209957,670,0,58818,0,0,209957,0,0
7,2008-01-08,48,25.4,0.3056,819595,213467,37936,372103,373257,72218,13773,102132,400305,79022,13838,145940,46033,62227,10325,124031,442157,265221,670,0,55264,0,0,265221,0,0
8,2008-01-09,48,24.3,0.3056,740153,191612,34185,367163,318453,63557,12195,95776,382447,73137,12717,148993,39253,54918,9273,122394,394191,313187,670,0,47966,0,0,313187,0,0
9,2008-01-10,48,23.1,0.3056,625522,161482,29552,360475,246843,52889,10383,85931,350768,63700,11223,154375,27911,44893,7946,120169,353836,354212,0,0,41025,0,0,354212,0,0
10,2008-01-11,48,23.1,0.3056,587643,154491,26113,352951,210465,47822,8947,86642,350208,63236,10204,148659,26970,43433,6962,117650,317815,309354,80879,0,36021,80879,0,390233,0,0
11,2008-01-12,48,23.3,0.3056,589363,155852,24159,345129,208467,47326,8021,81238,353175,64075,9701,148858,27721,44451,6437,115033,284464,272445,151139,0,33351,70260,0,390233,33351,0
12,2008-01-13,48,24.1,0.3056,625054,170751,24270,337750,222925,50420,7798,77497,367715,70439,9954,147675,34414,49892,6518,112578,257172,240919,209957,0,27292,58818,0,390233,60643,0
13,2008-01-14,48,24.7,0.3056,659407,181384,25644,331186,233344,52972,8030,75559,388608,74811,10637,145236,37455,53601,6977,110391,231618,211209,265221,0,25554,55264,25554,390233,60643,0
14,2008-01-15,48,25.5,0.3056,692295,193647,28062,325708,245613,56181,8630,71508,406132,79811,11714,145632,40550,57655,7718,108568,209463,185398,313187,0,22155,47966,47709,390233,60643,0
15,2008-01-16,48,26.0,0.3056,704601,200616,30540,321377,244949,57507,9271,70008,417896,83277,12812,144245,41756,59832,8457,107124,190684,163152,354212,0,18779,41025,66488,390233,60643,0
16,2008-01-17,48,26.2,0.3056,704494,202666,32338,317999,242959,57779,9721,67649,419674,84440,13628,144357,41861,60447,8989,105993,172710,145105,390233,0,17974,36021,84462,390233,60643,0
17,2008-01-18,48,25.4,0.3056,678902,190672,31899,314779,228813,54158,9535,65640,411158,80185,13496,144211,38931,56329,8868,104928,156552,127912,423584,0,16158,33351,100620,390233,60643,0
18,2008-01-19,48,24.5,0.3056,628221,174707,29805,311032,205929,49410,8867,63243,387987,74383,12688,144120,34305,50914,8250,103669,142369,114803,450876,0,14183,27292,114803,390233,60643,0
19,2008-01-20,48,24.6,0.3056,615041,172840,28347,306855,196151,47897,8351,65387,384674,74198,12172,139187,34216,50745,7824,102281,210333,102164,395551,0,12915,25554,114803,309354,73558,0
20,2008-01-21,48,24.6,0.3056,605667,171411,27416,302509,197947,47947,8018,67059,373963,73115,11832,134616,33757,50349,7566,100834,261944,98658,347446,0,18649,22155,114803,239094,92207,0
21,2008-01-22,48,25.4,0.3056,630345,182208,28150,298560,214675,51598,8232,67731,378936,76490,12128,131320,36734,54120,7790,99509,320762,79879,307407,0,0,18779,114803,180276,92207,0
22,2008-01-23,48,25.3,0.3056,627205,181201,28625,294999,219489,52313,8445,69999,371679,75388,12246,126692,36037,53500,7934,98308,376026,61905,270117,0,0,17974,114803,125012,92207,0
23,2008-01-24,48,25.7,0.3056,633974,186089,29515,291778,231257,54821,8823,71081,365732,76261,12511,123443,36985,55007,8181,97254,423992,45747,238309,0,0,16158,114803,77046,92207,0
24,2008-01-25,48,25.4,0.3056,622675,181869,29592,288806,233413,54713,8994,72927,353599,73782,12408,119608,35663,53374,8190,96271,465017,31564,211467,0,0,14183,114803,36021,92207,0
25,2008-01-26,48,23.5,0.3056,536829,150412,26546,284787,197478,47004,8216,74441,315006,61146,11050,115420,24345,42262,7280,94926,501038,18649,188361,0,0,12915,114803,0,92207,0
26,2008-01-27,48,23.5,0.3056,509973,145035,24057,280024,189973,45439,7555,76438,296427,58820,9994,110247,23573,40776,6508,93339,524478,9911,173659,0,9911,18649,114803,9911,58856,0
27,2008-01-28,48,23.1,0.3056,463060,135018,21928,274554,178535,43213,6983,76304,263491,54323,9075,106732,21034,37482,5870,91518,540355,21326,146367,0,11415,0,114803,21326,31564,0
28,2008-01-29,48,23.7,0.3056,491486,143026,21152,269165,193600,45876,6826,76032,274332,56384,8681,103412,23554,40766,5645,89721,553008,34227,120813,0,12901,0,89249,34227,31564,0
29,2008-01-30,48,24.4,0.3056,514359,155175,21918,264265,215290,50083,7154,75014,270674,60333,8887,101168,28395,44759,5877,88083,561866,47524,98658,0,13297,0,67094,47524,31564,0
30,2008-01-31,48,25.0,0.3056,538728,164283,23531,260081,231297,53584,7781,73933,276825,62871,9386,99454,30606,47828,6364,86694,567290,60879,79879,0,13355,0,48315,60879,31564,0
31,2008-02-01,48,25.5,0.3056,554628,171206,25430,256746,241108,56117,8500,74820,281564,65125,10009,96340,31956,49964,6921,85586,571586,74557,61905,0,13678,0,30341,74557,31564,0
32,2008-02-02,48,26.4,0.3056,571102,182223,28036,254451,254960,60271,9464,74183,282363,68465,10906,95455,33779,53487,7666,84813,573700,78690,55658,0,14044,9911,14183,88601,31564,0
33,2008-02-03,48,27.2,0.3056,574678,191476,30806,253257,259480,63588,10491,74159,280700,71506,11860,94679,34498,56382,8455,84419,574059,81099,52890,0,13824,11415,0,102425,31564,0
34,2008-02-04,48,27.6,0.3056,571397,195693,32891,253077,260061,65200,11270,74153,276808,72773,12565,94564,34528,57720,9056,84360,572972,82200,52876,0,14002,12901,0,116427,18649,0
35,2008-02-05,48,26.4,0.3056,571508,182640,32537,252941,259527,61161,11192,74025,278407,67957,12365,94603,33574,53522,8980,84313,577709,82815,47524,0,13912,13297,0,130339,0,0
36,2008-02-06,48,26.4,0.3056,571254,182374,32115,252642,258999,61050,11079,74185,278747,67984,12190,94243,33508,53340,8846,84214,563993,83176,60879,0,13716,13355,0,144055,0,0
37,2008-02-07,48,26.0,0.3056,564924,177532,31285,252051,256151,59603,10815,72835,276105,66215,11869,95202,32668,51714,8601,84014,551162,82329,74557,0,12831,13678,0,156886,0,0
