ID,Date,Province#,Temperature,L2,Total Eggs,Total Larvae,Total Puapae,Total Adults,Susceptable Eggs,Susceptable Larvae,Susceptable Puapae,Susceptable Adults,Latent Eggs,Latent Larvae,Latent Puapae,Latent Adults,Infected Eggs,Infected Larvae,Infected Puapae,Infected Adults,Susceptable Human,Latent Human,Infectious Human,Recovery Human,New Latent Human,New Infectious Human,DEN-1,DEN-2,DEN-3,DEN-4
0,2008-01-01,8,27.7,0.1888,657045,141722,25446,176109,358764,55649,10284,58671,274226,51769,9425,58735,24055,34304,5737,58703,293820,36063,233,0,36063,233,36063,0,0,0
1,2008-01-02,8,25.5,0.1888,455464,108678,22587,174950,239544,40859,9040,53954,194070,38405,8303,62679,21850,29414,5244,58317,262223,67660,233,0,31597,0,67660,0,0,0
2,2008-01-03,8,26.9,0.1888,413939,111711,21223,173675,203346,39329,8242,50480,187098,40010,7765,65301,23495,32372,5216,57894,234236,95647,233,0,27987,0,95647,0,0,0
3,2008-01-04,8,27.0,0.1888,399459,110557,20451,172487,184932,37378,7641,47841,191068,40623,7533,67136,23459,32556,5277,57510,208676,121207,233,0,25560,0,95647,25560,0,0
4,2008-01-05,8,27.2,0.1888,392146,110820,20086,171559,173187,36349,7231,46144,195555,41625,7509,68240,23404,32846,5346,57175,186685,143198,233,0,21991,0,95647,47551,0,0
5,2008-01-06,8,27.4,0.1888,387109,111384,19976,170668,165442,35777,6966,43671,198338,42472,7591,70107,23329,33135,5419,56890,167354,162529,233,0,19331,0,95647,66882,0,0
6,2008-01-07,8,27.9,0.1888,379007,113567,20148,170035,155589,35558,6828,42352,200241,44058,7789,71010,23177,33951,5531,56673,149967,143853,36296,0,17387,36063,95647,84269,0,0
7,2008-01-08,8,25.1,0.1888,360356,94827,18119,168835,141788,29539,6043,41065,198347,37504,7081,71506,20221,27784,4995,56264,149967,112256,67893,0,0,31597,95647,84269,0,0
8,2008-01-09,8,23.4,0.1888,308294,78493,15315,166502,112680,24558,5063,39891,181712,31856,6067,71128,13902,22079,4185,55483,149967,84269,95880,0,0,27987,95647,84269,0,0
9,2008-01-10,8,23.3,0.1888,287006,74498,13261,163455,100627,22696,4325,38531,173231,30798,5355,70440,13148,21004,3581,54484,150200,58709,121207,0,0,25560,95647,84269,0,0
10,2008-01-11,8,22.7,0.1888,246266,66276,11565,159804,84500,20092,3723,38824,150857,27869,4751,67695,10909,18315,3091,53285,150200,36718,143198,0,0,21991,95647,84269,0,0
11,2008-01-12,8,23.7,0.1888,279608,74321,10984,156361,96792,22076,3472,37323,169167,30623,4571,66916,13649,21622,2941,52122,150200,17387,162529,0,0,19331,95647,84269,0,0
12,2008-01-13,8,24.0,0.1888,282996,77900,11080,153026,101363,23103,3455,36815,166287,32175,4638,65194,15346,22622,2987,51017,135797,14403,179916,0,14403,17387,95647,98672,0,0
13,2008-01-14,8,24.5,0.1888,293994,81658,11566,150045,107464,24345,3586,35203,170061,33351,4836,64822,16469,23962,3144,50020,122917,27283,179916,0,12880,0,95647,111552,0,0
14,2008-01-15,8,25.3,0.1888,309625,87344,12562,147517,112682,25810,3879,34907,178956,35659,5239,63435,17987,25875,3444,49175,111554,38646,179916,0,11363,0,95647,122915,0,0
15,2008-01-16,8,25.6,0.1888,314246,89446,13480,145462,115459,26539,4155,32980,180482,36441,5609,64001,18305,26466,3716,48481,137689,48574,143853,0,9928,0,59584,132843,0,0
16,2008-01-17,8,26.0,0.1888,316613,91585,14335,143773,113629,26792,4402,33861,184312,37614,5969,61989,18672,27179,3964,47923,156593,61267,112256,0,12693,0,27987,145536,0,0
17,2008-01-18,8,26.7,0.1888,319121,95552,15367,142533,117468,28171,4706,35023,182459,38913,6398,60002,19194,28468,4263,47508,170867,74980,84269,0,13713,0,0,159249,0,0
18,2008-01-19,8,25.3,0.1888,305089,86871,14893,141324,115400,26333,4598,34323,172386,35096,6166,59902,17303,25442,4129,47099,181514,75490,73112,0,14913,14403,0,148602,0,0
19,2008-01-20,8,25.2,0.1888,298204,85225,14359,139912,112439,25848,4470,35641,168871,34459,5926,57631,16894,24918,3963,46640,194421,71694,64001,0,9084,12880,9084,126611,0,0
20,2008-01-21,8,24.2,0.1888,272115,77350,13240,138188,105051,24038,4162,35415,152564,31126,5446,56714,14500,22186,3632,46059,203683,70400,56033,0,10069,11363,19153,107280,0,0
21,2008-01-22,8,24.6,0.1888,273431,78808,12688,136331,106743,24469,4024,35700,151517,31458,5198,55197,15171,22881,3466,45434,210283,71259,48574,0,10787,9928,29940,89893,0,0
22,2008-01-23,8,25.4,0.1888,286176,84005,13007,134596,114534,26200,4154,34974,155088,33122,5291,54765,16554,24683,3562,44857,199248,69601,61267,0,11035,12693,40975,89893,0,0
23,2008-01-24,8,25.6,0.1888,289222,85443,13456,133137,116226,26738,4326,33995,156265,33630,5436,54786,16731,25075,3694,44356,189370,65766,74980,0,9878,13713,50853,89893,0,0
24,2008-01-25,8,24.7,0.1888,272327,79232,13028,131612,107704,24881,4209,33031,149677,31468,5250,54740,14946,22883,3569,43841,180277,59946,89893,0,9093,14913,59946,89893,0,0
25,2008-01-26,8,23.1,0.1888,226200,65007,11544,129389,84559,20682,3748,32198,131600,26343,4666,54057,10041,17982,3130,43134,170415,60724,98977,0,9862,9084,59946,99755,0,0
26,2008-01-27,8,22.6,0.1888,190589,57035,10060,126759,69258,17925,3266,31365,112976,23598,4107,53135,8355,15512,2687,42259,161601,59469,109046,0,8814,10069,59946,108569,0,0
27,2008-01-28,8,23.7,0.1888,220794,64679,9557,124249,78559,19557,3064,30595,131411,26455,3943,52243,10824,18667,2550,41411,167648,57038,105430,0,8356,10787,59946,102522,0,0
28,2008-01-29,8,24.2,0.1888,230084,69664,9813,121873,85011,20958,3101,30232,132410,28524,4072,51016,12663,20182,2640,40625,173419,53112,103585,0,7109,11035,59946,96751,0,0
29,2008-01-30,8,24.4,0.1888,233621,71188,10193,119778,87945,21644,3207,29560,132735,28883,4224,50299,12941,20661,2762,39919,178123,49893,102100,0,6659,9878,59946,92047,0,0
30,2008-01-31,8,25.5,0.1888,250363,77968,11214,118068,95248,23585,3521,28981,140457,31417,4629,49734,14658,22966,3064,39353,181955,46896,101265,0,6096,9093,59946,88215,0,0
31,2008-02-01,8,26.4,0.1888,259298,83421,12594,116876,99375,25220,3951,30432,144401,33515,5176,47480,15522,24686,3467,38964,194648,37034,98434,0,0,9862,59946,75522,0,0
32,2008-02-02,8,27.2,0.1888,261399,87837,13981,116323,105179,27176,4418,30016,140375,34642,5698,47538,15845,26019,3865,38769,208361,28220,93535,0,0,8814,59946,61809,0,0
33,2008-02-03,8,27.2,0.1888,261487,87949,14806,116147,105831,27388,4727,30293,139843,34541,5975,47140,15813,26020,4104,38714,223274,19864,86978,0,0,8356,59946,46896,0,0
34,2008-02-04,8,27.6,0.1888,260141,89879,15445,116272,106443,28113,4968,31617,137847,35140,6193,45895,15851,26626,4284,38760,232358,12755,85003,0,0,7109,50862,46896,0,0
35,2008-02-05,8,26.8,0.1888,262251,86108,15387,116417,110340,27446,4995,32096,136220,33262,6118,45514,15691,25400,4274,38807,242427,6096,81593,0,0,6659,40793,46896,0,0
36,2008-02-06,8,26.3,0.1888,261420,83616,14983,116410,111530,26994,4918,32972,134529,32117,5913,44637,15361,24505,4152,38801,253214,0,76902,0,0,6096,30006,46896,0,0
37,2008-02-07,8,25.8,0.1888,257578,80809,14376,116155,112002,26482,4773,32899,130745,30802,5635,44541,14831,23525,3968,38715,264249,0,65867,0,0,0,18971,46896,0,0
38,2008-02-08,8,25.4,0.1888,251631,78194,13696,115629,109643,25777,4593,33629,127742,29776,5340,43457,14246,22641,3763,38543,274127,0,55989,0,0,0,9093,46896,0,0
39,2008-02-09,8,26.0,0.1888,255788,81178,13668,115080,113882,26916,4623,34176,127017,30582,5299,42545,14889,23680,3746,38359,283220,0,46896,0,0,0,0,46896,0,0
40,2008-02-10,8,25.8,0.1888,254266,80177,13578,114510,115426,26947,4636,34513,124212,29920,5223,41827,14628,23310,3719,38170,293082,0,37034,0,0,0,0,37034,0,0
41,2008-02-11,8,26.0,0.1888,254963,81064,13639,113979,117606,27472,4703,35151,122591,29997,5204,40835,14766,23595,3732,37993,301896,0,28220,0,0,0,0,28220,0,0
42,2008-02-12,8,27.3,0.1888,258201,87700,14511,113742,122178,29935,5056,35669,120542,32002,5481,40159,15481,25763,3974,37914,310252,0,19864,0,0,0,0,19864,0,0
43,2008-02-13,8,25.0,0.1888,243146,75443,13589,113271,115967,26325,4779,36196,113791,27440,5087,39318,13388,21678,3723,37757,317361,0,12755,0,0,0,0,12755,0,0
44,2008-02-14,8,23.1,0.1888,197438,60564,11641,111975,92120,21762,4142,36315,96629,22251,4346,38335,8689,16551,3153,37325,324020,0,6096,0,0,0,0,6096,0,0
45,2008-02-15,8,26.1,0.1888,238798,77789,11983,110904,116119,27049,4288,36503,108401,27882,4457,37433,14278,22858,3238,36968,330116,0,0,0,0,0,0,0,0,0
46,2008-02-16,8,27.9,0.1888,246597,88591,13737,110400,123820,31223,4953,36800,107761,31206,5032,36800,15016,26162,3752,36800,322479,7637,0,0,7637,0,0,7637,0,0
47,2008-02-17,8,28.0,0.1888,247586,89446,14918,110520,126487,31884,5428,36341,106099,31177,5386,37339,15000,26385,4104,36840,315450,14666,0,0,7029,0,0,14666,0,0
48,2008-02-18,8,27.7,0.1888,250502,88311,15437,110919,127184,31432,5646,35742,108222,30856,5529,38204,15096,26023,4262,36973,315450,14666,0,0,0,0,0,14666,0,0
49,2008-02-19,8,28.1,0.1888,248685,90307,15843,111522,124590,31860,5796,36076,109017,31832,5673,38272,15078,26615,4374,37174,315450,14666,0,0,0,0,0,14666,0,0
