17,1.8744303797,25.3032258065,1074849
28,6.9873417722,27.5142857143,1074849
38,17.7113924051,30.8677419355,1074849
31,119.6020253165,30.99,1074849
98,156.5589873418,28.6838709677,1074849
263,179.0308860759,29.45,1074849
256,77.04,28.6967741935,1074849
191,130.2987341772,28.7032258065,1074849
162,210.6501265823,28.18,1074849
173,172.0556962025,27.4870967742,1074849
133,2.4212658228,25.31,1074849
109,0.1336708861,26.2612903226,1074849
107,1.3002531646,25.2032258065,1073683
128,1.804556962,26.8535714286,1073683
179,44.5184810127,29.4903225806,1073683
146,108.2916455696,30.2933333333,1073683
244,111.293164557,28.6451612903,1073683
507,164.8465822785,28.5933333333,1073683
449,160.5903797468,28.4580645161,1073683
344,140.1113924051,28.1225806452,1073683
239,197.7508860759,27.8166666667,1073683
173,144.8415189873,28.1838709677,1073683
93,29.2891139241,26,1073683
29,1.2,23.5935483871,1073683
33,2.3301265823,23.164516129,1073554
38,10.6511392405,28.3571428571,1073554
27,50.7888607595,29.5612903226,1073554
60,76.7179746835,30.4166666667,1073554
134,50.7979746835,29.235483871,1073554
121,69.5605063291,28.9366666667,1073554
136,160.4870886076,28.4709677419,1073554
124,187.1635443038,29.0419354839,1073554
103,184.8425316456,28.5233333333,1073554
86,129.0956962025,28.1580645161,1073554
99,2.9316455696,26.3466666667,1073554
53,0,25.4387096774,1073554
35,10.915443038,26.2903225806,1072868
33,3.9949367089,29.7357142857,1072868
35,3.426835443,30.6387096774,1072868
15,3.062278481,33.06,1072868
19,24.3736708861,32.4129032258,1072868
34,73.5098734177,30.5066666667,1072868
81,171.2506329114,29.3322580645,1072868
141,263.395443038,28.1032258065,1072868
108,257.6384810127,28.07,1072868
66,200.5792405063,27.2483870968,1072868
81,0.0243037975,26.5933333333,1072868
48,7.0815189873,25.664516129,1072868
52,0.6379746835,24.2774193548,1073495
67,15.2840506329,27.6321428571,1073495
76,38.8860759494,26.4612903226,1073495
147,75.6486075949,29.35,1073495
394,185.8724050633,28.8548387097,1073495
634,151.8713924051,28.89,1073495
556,213.417721519,26.0129032258,1073495
372,198.4313924051,28.6419354839,1073495
156,330.4010126582,30.03,1073495
93,57.1048101266,30.3064516129,1073495
65,2.2784810127,28.46,1073495
20,1.2972151899,28.5741935484,1073495
