136,43.39,27.913
79,17.03,30.394
50,10.51,30.945
32,46.09,33.701
13,149.45,33.701
30,242.15,
76,249.56,30.118
80,327.39,
81,442.65,
48,273.2,26.26
87,8.01,27.362
36,33.08,27.362
73,2.33,26.811
64,32.09,28.465
55,168.61,31.22
45,124.71,28.465
120,234.95,29.567
102,214.62,25.984
153,227.97,29.843
152,337.42,30.394
150,265.08,27.2245
165,327.39,24.055
130,1,28.189
45,2.4,25.984
71,23.74,27.913
47,34.09,30.118
63,33.08,31.772
55,48.96,32.323
67,149.45,33.425
75,121,
109,221.2,29.843
114,184.58,
128,514.71,15.236
200,202.06,27.087
206,145.01,26.811
7,7.54,27.362
147,25.99,27.638
100,12.99,30.118
71,32.09,31.22
43,55.23,34.252
37,136.52,34.803
42,265.08,30.118
100,163.6,31.22
116,208.25,30.118
88,347.75,27.913
74,290.18,26.811
89,124.71,27.362
32,1,24.882
26,1.48,26.535
20,5.1,29.843
15,23.03,30.945
20,39.64,33.701
16,154.02,33.976
22,163.6,30.118
30,140.7,
55,249.56,19.37
78,242.15,28.189
54,234.95,27.087
72,76.97,28.189
17,14.21,25.433
68,10.84,27.362
55,14.65,29.843
75,84.26,31.496
63,74.68,34.252
55,95.06,32.598
64,249.56,33.701
75,173.77,30.118
64,168.61,21.575
171,358.4,29.016
228,214.62,27.087
398,38.46,27.362
202,22.35,27.362
