0.2879,0.1588,0.8673
0.2965,0.0892,0.9123
0.316,0.1063,1
0.3074,0.2429,0.9428
0.5,0.5043,0.8777
0.6299,0.7241,0.8306
0.8723,0.8224,0.7675
1,1,0.796
0.8247,0.8608,0.7693
0.3939,0.6505,0.7613
0.2338,0.0192,0.8143
0.1602,0.0299,0.8368
0.3494,0.0024,0.9608
0.2788,0.1792,1
0.4833,0.3556,0.8761
0.6245,0.5506,0.8912
0.9963,0.4631,0.8347
1,0.6074,0.8369
0.829,0.5984,0.8628
0.5242,0.8789,0.9545
0.5762,1,0.8792
0.4052,0.6117,0.804
0.4758,0.0354,0.9567
0.2379,0.0053,0.9108
0.3158,0.0991,0.9256
0.2186,0.1063,0.9617
0.3117,0.1231,1
0.413,0.1282,0.9954
0.4858,0.3731,0.9188
0.498,0.3208,0.849
0.7368,0.5994,0.8939
0.8583,0.3331,0.8873
1,1,0.8195
0.919,0.39,0.8804
0.7328,0.208,0.8985
0.3077,0.0135,0.9119
0.4571,0.144,0.9653
0.3778,0.0273,0.9479
0.381,0.1587,1
0.4921,0.2318,0.9959
0.527,0.2795,0.8391
0.8603,0.6857,0.8524
0.6444,0.6092,0.9413
1,0.5109,0.7218
0.7968,1,0.7785
0.5238,0.7968,0.8697
0.3206,0.1695,0.8782
0.0635,0.024,0.8155
0.6984,0.0034,0.9525
0.6984,0.0681,0.9654
0.9841,0.144,1
0.9048,0.3469,0.9761
0.4286,0.4631,0.8829
0.746,0.7684,0.8851
0.6984,0.6567,0.9046
0.7619,0.7852,0.8354
0.6825,1,0.8222
0.8413,0.9796,0.8137
1,0.3567,0.8917
0.4603,0.0461,0.8417
0.2455,0.0203,0.9605
0.1364,0.1086,0.9888
0.1455,0.1919,0.9735
0.1705,0.2231,1
0.5955,0.2861,0.868
0.6341,0.5555,0.8945
0.925,0.3639,0.9407
0.8659,0.4927,0.9098
0.7432,1,0.8769
0.9659,0.5987,0.868
1,0.2327,0.8791
0.0091,0.0715,0.9075
