9,0,32.185,0.5480315
22,0,26.811,0.5480315
29,0,32.874,0.537682794
0,0,26.811,0.537682794
50,0.04,26.467,0.537682794
32,0.006,25.881,0.625196862
31,0.072,31.772,0.625196862
13,0,30.311,0.625196862
0,0,30.669,0.625196862
0,0.262,31.649,0.56850396
16,0,32.629,0.56850396
42,0.018,33.609,0.555680559
21,0,37.008,0.478740152
31,0,35.657,0.478740152
9,0,32.782,0.449606292
9.5,0.013,34.688,0.449606292
10,0.026,36.594,0.690776143
33,0,36.181,0.433858262
0,0,35.84,0.507873992
35,0.482,35.499,0.507873992
0,0.458,35.158,0.518335196
11,0.08,34.816,0.532283468
9,0.808,34.475,0.537007874
11,1.934,34.134,0.56535431
21,0.55,33.793,0.56535431
19,0.944,33.452,0.503149602
8,0.018,33.11,0.503149602
32,0.534,32.769,0.566704153
30,0,32.428,0.592125974
0,0.418,32.087,0.588661413
30,0.138,31.746,0.583464572
43,1.058,31.404,0.563582682
34,0.05,31.063,0.42440945
42,1.002,30.722,0.42440945
37,1.332,30.381,0.47952756
67,0.018,30.04,0.501574804
21,1.706,29.698,0.504274454
63,1.326,29.357,0.506299192
27,0.122,29.016,0.505624285
44,0.558,28.465,0.503937016
13,0.254,27.913,0.503937016
38,2.792,28.161,0.492913372
18,0,28.41,0.492913372
40,0,30.063,0.491113599
44,0,25.709,0.48976377
16,0.242,26.033,0.488451435
34,0,26.356,0.481889762
31,0,26.68,0.481889762
30,0,27.004,0.50629919
0,0,26.019,0.50629919
0,0,27.665,0.515860509
54,0,26.398,0.519685036
