3,0,22.769,0.660279963
2,0.00037037,22.642,0.660279963
5,0.00037037,22.642,0.722272208
5,0.007037037,28.648,0.732604249
0,0.244259259,26.237,0.671320248
13,0,31.203,0.625357247
0,0.033518519,25.721,0.625857183
8,0,31.631,0.626523764
0,0.005740741,27.613,0.626523764
2,0.026851852,31.903,0.604578593
5,0.269444444,29.037,0.604578593
4,0.001296296,34.206,0.619889179
3,0.180185185,30.225,0.619889179
2,1.392222222,24.45,0.608640587
0,0.706296296,26.689,0.604141151
0,0.256111111,32.444,0.622888808
12,0.002037037,31.256,0.669757951
13,1.032592593,28.753,0.672034287
0,0.10037037,33.611,0.690244972
0,1.527592593,28.1,0.690244972
13,0.193703704,25.161,0.69692816
12,0.227407407,22.223,0.698264797
0,0.084444444,19.284,0.628186059
29,0,21.229,0.523067951
0,0.012037037,23.173,0.512475524
0,0.024814815,22.404,0.448920967
0,0.45537037,21.635,0.448920967
0,0.26037037,21.458,0.53764946
0,1.822407407,21.28,0.53764946
0,0.813148148,21.103,0.55539724
0,0.371851852,20.925,0.568708075
0,0.164814815,20.748,0.480281629
24,0.164814815,20.748,0.3623797
7,0.333518519,27.711,0.3623797
8,0.661666667,18.709,0.608953048
2,1.412037037,20.403,0.608953048
4,0.298703704,23.249,0.633116694
2,0.259444444,22.431,0.633116694
12,0.448148148,24.695,0.642782153
7,0.214259259,26.96,0.642782153
1,0.415925926,24.078,0.642782153
5,0.165,21.835,0.738072322
6.3333,0.561296296,24.787,0.738072322
7.6667,0.764444444,24.074,0.68445403
9,0.014814815,23.887,0.675517648
5,0.00037037,21.93,0.710429951
5,0.002777778,20.858,0.736614177
8,0.638333333,24.573,0.737864021
4,0,28.288,0.745363083
20,0.003148148,26.943,0.745363083
12,0,28.067,0.759944579
9,0.002962963,24.7,0.759944579
