0.1049,31.29,29.29
0.1975,38.03,30.61
0.2531,49.56,34.11
0.1605,104.77,32.93
0.4568,166.29,31.47
0.8765,163.24,26.08
1,216.71,26.37
0.9691,282.36,25.21
0.6543,230.4,25.54
0.1235,388.61,23.48
0.0432,9.24,25.18
0.0247,7.02,26.07
0.0568,1,26.76
0.0682,32.39,29.98
0.1364,67.08,28.63
0.3636,204.89,29.21
0.7216,201.79,27.06
0.9034,201.19,25.24
1,223.45,26.31
0.5455,290.5,26.62
0.4489,368.45,25.42
0.1534,281.97,24.22
0.1193,15.97,27.44
0.0341,1.24,24.55
0.1007,40.49,26.09
0.1275,27.88,29.35
0.2081,40.29,30.59
0.1946,107.1,29.84
0.3087,214.06,29.95
0.9396,146.24,26.23
1,250.98,26.48
0.7047,192.06,25.41
0.6779,502.27,24.09
0.3221,107.71,26.43
0.1007,103.53,25.85
0.0604,3.04,27.22
0.1811,20.12,27.97
0.1102,17.42,29.7
0.2598,28.5,33.07
0.2992,142.66,32.96
0.5669,120.52,27.83
0.7323,288.36,27.47
1,378.48,25.43
0.8583,276.14,26.54
0.3543,414.6,23.34
0.126,403.82,25.07
0.0866,73.46,24.74
0.0236,3.69,24.3
0.0612,1,27.69
0.0204,7.29,30.06
0.1837,77.38,31.85
0.1633,99.51,32.07
0.3673,122.54,29.73
0.5102,201.54,27.67
1,201.01,25.22
0.7755,314.95,27.2
0.4082,308.75,25.32
0.3265,210.45,24.33
0.1837,64.89,26.76
0.0204,11,25.96
0.0337,13.04,27.83
0.0303,38.1,30.06
0.0572,51.53,31.36
0.0404,69.67,33.87
0.1246,85.22,28.93
0.4377,165.93,28.88
0.7104,196.06,29.48
1,215.61,26.2
0.9057,346.31,26.54
0.4714,212.89,26.32
0.3569,61.18,26.29
0.1549,5.68,27.97
